Location Name,Identifier,Road Section,State,Post Code,Latitude,Longitude,Electorate,Local Government Area,Regional Development Authority,Remoteness Area,Updated
Cotter River Recreation Area,ACT-0001,N/A,Australian Capital Territory,2620,-35.32488745,148.939594,Canberra,Unincorporated ACT,Australian Capital Territory,Inner Regional Australia,25 February 2016
Cotter Road,ACT-0002,N/A,Australian Capital Territory,2611,-35.33853475,148.9905945,Canberra,Unincorporated ACT,Australian Capital Territory,Inner Regional Australia,25 February 2016
National Equestrian Centre,ACT-0003,N/A,Australian Capital Territory,2611,-35.356065,149.014995,Canberra,Unincorporated ACT,Australian Capital Territory,Inner Regional Australia,25 February 2016
Stromlo,ACT-0004,N/A,Australian Capital Territory,2611,-35.32666582,149.0006223,Canberra,Unincorporated ACT,Australian Capital Territory,Inner Regional Australia,25 February 2016
Uriarra Village,ACT-0005,N/A,Australian Capital Territory,2611,-35.29623759,148.9244285,Canberra,Unincorporated ACT,Australian Capital Territory,Inner Regional Australia,25 February 2016
Booderee National Park,ACT-0006,N/A,Australian Capital Territory,2540,-35.133781,150.686178,Fraser,Unincorp. Other Territories,South Coast,Inner Regional Australia,25 February 2016
Corin Forest ,ACT-0007,N/A,Australian Capital Territory,2620,-35.515527,148.921634,Canberra,Unincorporated ACT,Australian Capital Territory,Inner Regional Australia,25 February 2016
Cotter Road,ACT-0008,N/A,Australian Capital Territory,2611,-35.321697,149.05835,Canberra,Unincorporated ACT,Australian Capital Territory,Inner Regional Australia,25 February 2016
Tidbinbilla Nature Reserve,ACT-0009,N/A,Australian Capital Territory,2620,-35.463001,148.910589,Canberra,Unincorporated ACT,Australian Capital Territory,Inner Regional Australia,25 February 2016
Wright ,ACT-0010,N/A,Australian Capital Territory,2611,-35.323415,149.036356,Canberra,Unincorporated ACT,Australian Capital Territory,Inner Regional Australia,25 February 2016
Christmas Island,ET-0001,N/A,External Territory,6798,-10.49084611,105.6224555,Lingiari,Unincorp. Other Territories,Mid West Gascoyne,Very Remote Australia,25 February 2016
Cocos (Keeling) Islands,ET-0002,N/A,External Territory,6799,-12.185414,96.827896,Lingiari,Unincorp. Other Territories,Mid West Gascoyne,Very Remote Australia,25 February 2016
Norfolk Island,ET-0003,N/A,External Territory,2899,-29.040835,167.954661,N/A,N/A,N/A,N/A,25 February 2016
Aberbaldie,NSW-0001,N/A,New South Wales,2354,-31.05660317,151.5030979,New England,Walcha,Northern Inland,Outer Regional Australia,25 February 2016
Abercrombie National Park,NSW-0002,N/A,New South Wales,2795,-34.06287577,149.7379754,Calare,Oberon,Central West,Outer Regional Australia,25 February 2016
Abercrombie Road,NSW-0003,Between Goulburn and Oberon,New South Wales,2787,-34.00795428,149.7905076,Calare,Oberon,Central West,Outer Regional Australia,25 February 2016
Abercrombie Road,NSW-0004,Between Oberon and Taralga,New South Wales,2787,-34.03396449,149.8257925,Calare,Oberon,Central West,Outer Regional Australia,25 February 2016
Abercrombie Road,NSW-0005,Between Taralga and Black Springs,New South Wales,2795,-34.12710431,149.7792008,Calare,Oberon,Central West,Outer Regional Australia,25 February 2016
Aberdeen,NSW-0006,N/A,New South Wales,2336,-32.16927405,150.8918104,Hunter,Upper Hunter Shire,Hunter,Inner Regional Australia,25 February 2016
Aberfoyle,NSW-0007,N/A,New South Wales,2350,-30.25896529,152.0146516,New England,Guyra,Northern Inland,Outer Regional Australia,25 February 2016
Aberfoyle Road,NSW-0008,Between Aberfoyle and Guyra,New South Wales,2350,-30.24312629,151.9679083,New England,Guyra,Northern Inland,Outer Regional Australia,25 February 2016
Abernethy,NSW-0009,N/A,New South Wales,2325,-32.881399,151.3971378,Hunter,Cessnock,Hunter,Inner Regional Australia,25 February 2016
Adaminaby,NSW-0010,N/A,New South Wales,2629,-35.99641042,148.7740134,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Adelong,NSW-0011,N/A,New South Wales,2729,-35.31237499,148.0647636,Riverina,Tumut Shire,Southern Inland,Inner Regional Australia,25 February 2016
Afterlee,NSW-0012,N/A,New South Wales,2474,-28.58604936,152.8284767,Page,Kyogle,Northern Rivers,Inner Regional Australia,25 February 2016
Albert,NSW-0013,N/A,New South Wales,2873,-32.3520184,147.5074569,Parkes,Lachlan,Central West,Remote Australia,25 February 2016
Aldaville,NSW-0014,N/A,New South Wales,2440,-31.077612,152.760022,Cowper,Kempsey,Mid North Coast,Inner Regional Australia,25 February 2016
Alectown,NSW-0015,N/A,New South Wales,2870,-32.9333831,148.2415787,Calare,Parkes,Central West,Outer Regional Australia,25 February 2016
Allworth,NSW-0016,N/A,New South Wales,2425,-32.5391818,151.9584451,Paterson,Great Lakes,Hunter,Inner Regional Australia,25 February 2016
Allyn River Road,NSW-0017,Between Eccleston and Salisbury,New South Wales,2311,-32.26557591,151.4952287,Paterson,Dungog,Hunter,Outer Regional Australia,25 February 2016
Allyn River Road,NSW-0018,Between Gresford and Eccleston,New South Wales,2311,-32.34340296,151.5251083,Paterson,Dungog,Hunter,Outer Regional Australia,25 February 2016
Allynbrook,NSW-0019,N/A,New South Wales,2311,-32.36323788,151.5372208,Paterson,Dungog,Hunter,Outer Regional Australia,25 February 2016
Alpine Way,NSW-0020,Between Thredbo and Khancoban,New South Wales,2642,-36.3889576,148.1798412,Riverina,Tumbarumba,Southern Inland,Outer Regional Australia,25 February 2016
Alstonvale,NSW-0021,N/A,New South Wales,2477,-28.79527712,153.4485123,Page,Ballina,Northern Rivers,Inner Regional Australia,25 February 2016
Alstonville,NSW-0022,N/A,New South Wales,2477,-28.84191817,153.4400082,Page,Ballina,Northern Rivers,Inner Regional Australia,25 February 2016
Amaroo Road,NSW-0023,Between Molong and Orange,New South Wales,2800,-33.20628677,148.9523297,Calare,Cabonne,Central West,Inner Regional Australia,25 February 2016
Ammerdown Estate,NSW-0024,N/A,New South Wales,2800,-33.24906583,149.0703004,Calare,Orange,Central West,Inner Regional Australia,25 February 2016
Anabranch North,NSW-0025,N/A,New South Wales,2648,-33.51725928,141.6401983,Farrer,Wentworth,Murray,Remote Australia,25 February 2016
Anabranch South,NSW-0026,N/A,New South Wales,2648,-33.6352604,141.7042103,Farrer,Wentworth,Murray,Remote Australia,25 February 2016
Anembo,NSW-0027,N/A,New South Wales,2621,-35.81071449,149.4280442,Eden-Monaro,Cooma-Monaro,Southern Inland,Inner Regional Australia,25 February 2016
